symbol,category
Wwc1,miscellaneous and unknown
Odz2,development
Mat2b,metabolism and transport
Thg1l,translation and protein modification
Cyfip2,development
Timd2,immune response
Surf6,development
RGD1559575,miscellaneous and unknown
Olr1384,receptors and binding proteins
Olr1385,receptors and binding proteins
Zfp354c,transcription
Sec24a,metabolism and transport
Phf15,epigenetics
Hspa4,signaling
Uqcrq,proteolysis
Slc22a5,metabolism and transport
LOC303140,metabolism and transport
Cdc42se2,development
Ccdc69,transcription
Sparc,cytoskeleton
Atox1,metabolism and transport
Nmur2,signaling
LOC686661,miscellaneous and unknown
LOC691286,EST
Olr1425,receptors and binding proteins
Olr1435,receptors and binding proteins
Olr1440,receptors and binding proteins
Zfp39,transcription
Rnf187,proteolysis
Hist3h2bb,epigenetics
Obscn,EST
Guk1,metabolism and transport
Snap47,cytoskeleton
LOC100125361,transcription
Znf496,transcription
Pld6,metabolism and transport
Flcn,development
Cops3,development
Rasd1,signaling
Slc47a1,metabolism and transport
Rnf112,proteolysis
Mapk7,signaling
Ulk2,development
LOC687381,metabolism and transport
RGD1305664,EST
Myocd,transcription
Map2k4,signaling
Shisa6,development
Ntn1,development
Ndel1,cell cycle
Odf4,cytoskeleton
LOC497934,miscellaneous and unknown
Chd3,epigenetics
Tmem88,miscellaneous and unknown
Dnah2,cytoskeleton
Efnb3,signaling
Atp1b2,metabolism and transport
Cd68,immune response
Polr2a,transcription
Amac1,metabolism and transport
Tmem102,miscellaneous and unknown
Spem1,development
Nlgn2,development
Tnk1,signaling
Eif5a,translation and protein modification
Slc2a4,metabolism and transport
Bcl6b,transcription
Rnasek,translation and protein modification
Alox15,metabolism and transport
Pelp1,transcription
Cxcl16,growth factor
Chrne,receptors and binding proteins
Pfn1,cytoskeleton
Spag7,immune response
LOC691995,miscellaneous and unknown
Pitpnm3,metabolism and transport
RGD1304728,miscellaneous and unknown
Med31,transcription
Smtnl2,cytoskeleton
Ctns,development
Aspa,metabolism and transport
Olr1469,receptors and binding proteins
Olr1509,receptors and binding proteins
RGD1563134,EST
Dph1,translation and protein modification
Serpinf1,proteolysis
Doc2b,metabolism and transport
Vps53,proteolysis
Pigs,metabolism and transport
Aldoc,metabolism and transport
Sdf2,growth factor
Rab34,signaling
Tmem97,miscellaneous and unknown
Psma3,proteolysis
RGD1561440,signaling
Lgals9,cytoskeleton
Ksr1,signaling
Evi2a,cytoskeleton
RGD1306595,miscellaneous and unknown
Myo1d,cytoskeleton
Accn1,metabolism and transport
RGD1560058,transcription
Slfn8,translation and protein modification
Ccl5,growth factor
Ccl6,growth factor
Mrm1,transcription
Pigw,metabolism and transport
RGD1559961,miscellaneous and unknown
Appbp2,metabolism and transport
Ints2,translation and protein modification
Med13,transcription
Mir21,EST
Cltc,cytoskeleton
Dhx40,transcription
Gdpd1,metabolism and transport
Msi2,translation and protein modification
LOC303431,EST
Scpep1,proteolysis
RGD1561118,transcription
LOC497978,signaling
Pctp,metabolism and transport
Hlf,transcription
Rps24,translation and protein modification
Nme2,metabolism and transport
Nme1,metabolism and transport
Wfikkn2,miscellaneous and unknown
Luc7l3,miscellaneous and unknown
Epn3,cytoskeleton
Acsf2,metabolism and transport
Pdk2,signaling
Ngfr,receptors and binding proteins
Atp5g1,metabolism and transport
Snx11,signaling
Nfe2l1,transcription
Sp2,transcription
Lrrc46,development
Gpr179,receptors and binding proteins
Ccdc49,transcription
Rpl23,translation and protein modification
Plxdc1,receptors and binding proteins
Stac2,signaling
Fbxl20,transcription
RGD1306682,EST
Med24,transcription
Nr1d1,transcription
Tns4,signaling
Ccr7,growth factor
Krt40,cytoskeleton
Krtap4-5,cytoskeleton
LOC680286,miscellaneous and unknown
RGD1566146,cytoskeleton
Krt15,cytoskeleton
Krt19,cytoskeleton
Ka11,cytoskeleton
Hap1,transcription
Jup,cytoskeleton
Klhl11,transcription
Acly,metabolism and transport
Kat2a,metabolism and transport
Ptrf,transcription
Plekhh3,signaling
Ccdc56,transcription
Becn1,receptors and binding proteins
Vat1,metabolism and transport
Etv4,transcription
Mpp3,transcription
Mpp2,transcription
Pyy,growth factor
RGD1311493,miscellaneous and unknown
LOC100361389,miscellaneous and unknown
LOC688211,miscellaneous and unknown
Arhgap27,signaling
Prp2l1,immune response
Nsf,development
Cdc27,cell cycle
Cyb561,electron transport
Cd79b,immune response
Ern1,signaling
Ddx5,epigenetics
Gna13,signaling
Abca8,receptors and binding proteins
Slc39a11,metabolism and transport
Cpsf4l,translation and protein modification
Cdc42ep4,signaling
Sdk2,development
RGD1561778,immune response
Nat9,metabolism and transport
Grin2c,signaling
LOC688261,metabolism and transport
Mif4gd,translation and protein modification
Slc25a19,metabolism and transport
Rps18,translation and protein modification
Galk1,metabolism and transport
Wbp2,receptors and binding proteins
Trim65,immune response
Mrpl38,translation and protein modification
Prpsap1,metabolism and transport
Ube2o,proteolysis
Cygb,metabolism and transport
St6galnac2,Golgi apparatus
Lgals3bp,cytoskeleton
Cant1,metabolism and transport
Nptx1,development
RGD1307410,miscellaneous and unknown
Slc38a10,metabolism and transport
RGD1306926,miscellaneous and unknown
Thoc4,transcription
Pcyt2,metabolism and transport
RGD1307119,miscellaneous and unknown
Csnk1d,signaling
Sectm1b,development
RGD1305007,EST
Olr1355,receptors and binding proteins
Vgll3,miscellaneous and unknown
Chmp6,epigenetics
Robo1,development
Rbm11,translation and protein modification
Cxadr,receptors and binding proteins
Ncam2,cytoskeleton
LOC304131,EST
LOC363737,EST
LOC685349,miscellaneous and unknown
LOC100363541,miscellaneous and unknown
Tiam1,transcription
RGD1307569,miscellaneous and unknown
Il10rb,receptors and binding proteins
Son,transcription
Slc5a3,metabolism and transport
Clic6,metabolism and transport
Cbr1,metabolism and transport
Cbr3,metabolism and transport
Dopey2,development
Morc3,transcription
Ttc3,miscellaneous and unknown
Ets2,transcription
Wrb,development
B3galt5,metabolism and transport
Bace2,metabolism and transport
Mx2,immune response
LOC100360437,miscellaneous and unknown
Olr1531,receptors and binding proteins
Olr1541,receptors and binding proteins
Olr1559,receptors and binding proteins
Olr1560,receptors and binding proteins
Col8a1,cytoskeleton
Tmem30c,cell cycle
Nit2,metabolism and transport
Tfg,apoptosis
Rg9mtd1,epigenetics
Fam55c,miscellaneous and unknown
Alcam,signaling
Ptgis,metabolism and transport
Pvrl3,receptors and binding proteins
Abhd10,metabolism and transport
Cd200,immune response
Boc,receptors and binding proteins
Sidt1,receptors and binding proteins
Atp6v1a,metabolism and transport
Zdhhc23,transcription
Qtrtd1,translation and protein modification
RGD1563835,translation and protein modification
Upk1b,signaling
Cdgap,signaling
Krt8,cytoskeleton
Stxbp5l,transcription
Slc15a2,metabolism and transport
Dtx3l,signaling
Parp14,translation and protein modification
Dirc2,development
Pdia5,metabolism and transport
Umps,metabolism and transport
Pigx,metabolism and transport
Pak2,signaling
LOC678704,metabolism and transport
Atp13a4,metabolism and transport
LOC690476,proteolysis
RGD1559643,miscellaneous and unknown
Fgf12,growth factor
Cldn1,cytoskeleton
Leprel1,development
Bcl6,transcription
Masp1,proteolysis
Rfc4,transcription
Kng1,growth factor
Tbccd1,signaling
Dgkg,signaling
Etv5,transcription
Tra2b,translation and protein modification
LOC499782,translation and protein modification
Clcn2,signaling
Alg3,metabolism and transport
Abcc5,receptors and binding proteins
Olr1567,receptors and binding proteins
Tbx1,epigenetics
RGD1310348,miscellaneous and unknown
Dgcr2,development
Slc7a4,metabolism and transport
Thap7,epigenetics
Sdf2l1,transcription
Spag6,immune response
Olr1571,receptors and binding proteins
Pkp2,cytoskeleton
Ube2v2,proteolysis
Epha3,receptors and binding proteins
Znf654,transcription
Hspa13,signaling
Samsn1,signaling
Nrip1,transcription
App,cytoskeleton
Cyyr1,miscellaneous and unknown
Adamts1,proteolysis
Adamts5,proteolysis
Rnf160,proteolysis
Rwdd2b,miscellaneous and unknown
Cct8,translation and protein modification
LOC685261,miscellaneous and unknown
RGD1564317,miscellaneous and unknown
Sod1,metabolism and transport
RGD1562726,miscellaneous and unknown
Tmem50b,miscellaneous and unknown
Atp5o,metabolism and transport
Rcan1,development
Runx1,transcription
Hlcs,metabolism and transport
Kcnj6,metabolism and transport
Erg,transcription
Mx1,immune response
Tmprss2,proteolysis
Ripk4,signaling
Znf295,transcription
Cpox,metabolism and transport
RGD1565927,miscellaneous and unknown
RGD1562717,receptors and binding proteins
Senp7,proteolysis
Zbtb11,transcription
Rpl24,translation and protein modification
Cblb,transcription
Ift57,miscellaneous and unknown
Retnlg,development
H3f3b,epigenetics
Ccdc80,transcription
RGD1560175,miscellaneous and unknown
Zbtb20,transcription
Cd80,immune response
Popdc2,development
Polq,transcription
Golgb1,Golgi apparatus
Kpna1,metabolism and transport
Parp9,translation and protein modification
Adcy5,signaling
Mylk,cytoskeleton
Ropn1,development
RGD1564641,signaling
Zfp148,transcription
Tnk2,signaling
Tfrc,receptors and binding proteins
Tm4sf19,miscellaneous and unknown
Wdr53,miscellaneous and unknown
LOC684506,metabolism and transport
Gapdh,metabolism and transport
Dlg1,development
Bdh1,metabolism and transport
Fam43a,miscellaneous and unknown
Hes1,transcription
Il13ra1,receptors and binding proteins
Hrasls,transcription
Il1rap,receptors and binding proteins
Cldn16,cytoskeleton
Rtp4,receptors and binding proteins
Adipoq,hormone
Fetub,metabolism and transport
Ahsg,immune response
Dnajb11,transcription
Senp2,proteolysis
Nudt2,transcription
Eif4g1,translation and protein modification
RGD1560559,EST
Polr2h,transcription
Psmd2,proteolysis
B3gnt5,metabolism and transport
Trmt2a,development
Rtn4r,receptors and binding proteins
Vpreb2,immune response
Lztr1,transcription
Aifm3,apoptosis
Fgd4,signaling
Prkdc,EST
Mrpl40,translation and protein modification
Vom2r59,receptors and binding proteins
Higd2a,apoptosis
LOC501799,epigenetics
LOC689244,epigenetics
Stard13,metabolism and transport
LOC304239,receptors and binding proteins
Slc7a1,metabolism and transport
Slc46a3,metabolism and transport
Flt1,receptors and binding proteins
Gpcr12,signaling
RGD1560888,cell cycle
Atp5j2,metabolism and transport
Pdap1,growth factor
Tmem130,miscellaneous and unknown
RGD1565131,translation and protein modification
Baiap2l1,signaling
Tecpr1,development
Aimp2,translation and protein modification
Usp42,proteolysis
LOC683674,miscellaneous and unknown
Mmd2,development
Radil,signaling
Gna12,signaling
Ttyh3,miscellaneous and unknown
Snx8,signaling
LOC498154,miscellaneous and unknown
Prkar1b,signaling
Pdgfa,growth factor
Asmtl,epigenetics
Cops6,development
Cnpy4,development
Mblac1,metabolism and transport
RGD1559954,miscellaneous and unknown
Rabl5,signaling
Fis1,development
Cldn15,cytoskeleton
Vgf,growth factor
Cux1,development
Prkrip1,proteolysis
Orai2,metabolism and transport
Styxl1,signaling
Pom121,metabolism and transport
Cldn4,cytoskeleton
Eif4h,translation and protein modification
Gm52,cytoskeleton
Clip2,transcription
Gtf2ird1,transcription
LOC100362819,development
Wbscr17,development
Gusb,metabolism and transport
Mrps17,translation and protein modification
Stx2,transcription
Slc15a4,metabolism and transport
RGD1560580,development
Dhx37,apoptosis
Ubc,proteolysis
Scarb1,receptors and binding proteins
Ccdc92,transcription
Eif2b1,translation and protein modification
Pitpnm2,metabolism and transport
Vps37b,proteolysis
LOC360807,development
Diablo,apoptosis
Psmd9,proteolysis
Camkk2,signaling
Atp2a2,metabolism and transport
Rad9b,DNA repair
RGD1566266,EST
Cux2,development
Aldh2,metabolism and transport
Adam1a,proteolysis
Oas1i,metabolism and transport
Oas1a,metabolism and transport
Oas1e,translation and protein modification
Tpcn1,metabolism and transport
P76,Golgi apparatus
Srrm4,translation and protein modification
Hspb8,signaling
Prkab1,signaling
Sirt4,transcription
Gatc,translation and protein modification
Rnf10,proteolysis
Mlec,signaling
Acads,metabolism and transport
RGD1560398,miscellaneous and unknown
Gltp,metabolism and transport
Tmem119,miscellaneous and unknown
Sart3,transcription
Cmklr1,growth factor
Hscb,electron transport
Ulk1,development
Ep400,epigenetics
Noc4l,transcription
P2rx2,receptors and binding proteins
Gtpbp6,signaling
Ube2n,proteolysis
Zinki,miscellaneous and unknown
Snapc2,translation and protein modification
Lrrc8e,development
LOC688858,immune response
Retn,growth factor
Pnpla6,receptors and binding proteins
Mcoln1,cytoskeleton
Rfc3,transcription
Kl,development
LOC304240,metabolism and transport
Fry,development
Alox5ap,signaling
Pomp,proteolysis
Arpc1b,cytoskeleton
Nptx2,development
Lmtk2,development
Pms2,DNA repair
LOC498145,EST
Kdelr2,receptors and binding proteins
Wipi2,miscellaneous and unknown
RGD1560686,development
RGD1565146,EST
Chst12,metabolism and transport
Gper,signaling
Gpr146,signaling
RGD1311660,EST
Unc84a,cytoskeleton
LOC288521,miscellaneous and unknown
Zfp157,transcription
LOC288526,signaling
Spry3,signaling
LOC680767,transcription
Taf6,translation and protein modification
RGD1562319,miscellaneous and unknown
RGD1305455,miscellaneous and unknown
Gal3st4,Golgi apparatus
Pop7,translation and protein modification
Gnb2,signaling
Pcolce,proteolysis
Agfg2,signaling
Mepce,metabolism and transport
Znhit1,transcription
Ap1s1,Golgi apparatus
Serpine1,proteolysis
Polr2j,transcription
Upk3b,signaling
Hspb1,signaling
Por,metabolism and transport
Rhbdd2,metabolism and transport
Bcl7b,transcription
Dnajc30,transcription
Abhd11,metabolism and transport
LOC687234,cytoskeleton
Wbscr27,development
Auts2l,development
Auts2,development
Caln1,signaling
Tyw1,translation and protein modification
MGC94190,miscellaneous and unknown
RGD1560258,EST
Tmem132c,miscellaneous and unknown
Aacs,metabolism and transport
Zfoc1,EST
Atp6v0a2,metabolism and transport
Tmed2,metabolism and transport
Snrnp35,translation and protein modification
Setd8,epigenetics
Hip1r,transcription
Ccdc62,transcription
B3gnt4,metabolism and transport
Mlxip,transcription
LOC687600,EST
Wdr66,miscellaneous and unknown
Rnf34,apoptosis
P2rx4,metabolism and transport
P2rx7,receptors and binding proteins
Anapc7,cell cycle
Tmem116,miscellaneous and unknown
Rps20,translation and protein modification
Oas1d,metabolism and transport
Oas1b,metabolism and transport
Ddx54,transcription
Slc24a6,metabolism and transport
Tbx3,epigenetics
Med13l,transcription
RGD1562310,miscellaneous and unknown
Hrk,apoptosis
Rab35,signaling
Gcn1l1,metabolism and transport
Pxn,cytoskeleton
Coq5,epigenetics
Pop5,metabolism and transport
Sppl3,EST
RGD1311899,miscellaneous and unknown
Oasl,translation and protein modification
Oasl2,metabolism and transport
Acacb,metabolism and transport
Usp30,proteolysis
Ficd,signaling
LOC304558,miscellaneous and unknown
Ddx51,transcription
Golga3,Golgi apparatus
Chfr,cell cycle
Cldn3,cytoskeleton
Cntnap5b,cytoskeleton
Cdh20,cytoskeleton
RGD1307235,EST
Zcchc2,transcription
Serpinb8,proteolysis
RGD1566343,cytoskeleton
Tcfcp2l1,transcription
Tmem185b,miscellaneous and unknown
Mgat5,Golgi apparatus
RGD1306487,signaling
R3hdm1,miscellaneous and unknown
Thsd7b,cytoskeleton
Slc45a3,metabolism and transport
Klhdc8a,transcription
Tmem81,miscellaneous and unknown
Lrrn2,development
Pik3c2b,metabolism and transport
Ppp1r15b,signaling
Etnk2,metabolism and transport
Myog,development
Cyb5r1,electron transport
Rabif,signaling
Syt2,development
Ptprv,signaling
Csrp1,cytoskeleton
Phlda3,signaling
Lad1,cytoskeleton
Tnnt2,cytoskeleton
Tmem9,miscellaneous and unknown
Zbtb41,transcription
Kcnt2,metabolism and transport
B3galt2,Golgi apparatus
Zc3h15,transcription
Ptgs2,metabolism and transport
Ivns1abp,receptors and binding proteins
Fam129a,miscellaneous and unknown
Edem3,metabolism and transport
Ncf2,development
Rgs16,signaling
RGD1561635,translation and protein modification
Acbd6,metabolism and transport
Tor1aip2,development
Abl2,signaling
Angptl1,growth factor
Tnr,cytoskeleton
Mrps14,translation and protein modification
Cenpl,cell cycle
Mir214,micro RNA
Myoc,cytoskeleton
Scyl3,transcription
F5,immune response
Slc19a2,metabolism and transport
Dpt,development
RGD1563422,miscellaneous and unknown
Creg1,growth factor
Aldh9a1,metabolism and transport
Rxrg,receptors and binding proteins
Lmx1a,transcription
Rgs5,signaling
Sh2d1b1,signaling
Fcgr3a,immune response
RGD1562658,EST
Apoa2,metabolism and transport
Adamts4,proteolysis
F11r,cytoskeleton
Cd48,immune response
Cd84,immune response
Igsf8,immune response
Kcnj10,metabolism and transport
Pigm,metabolism and transport
Slamf9,immune response
Tagln2,cytoskeleton
Rps29,translation and protein modification
Olr1576,receptors and binding proteins
Olr1584,receptors and binding proteins
Olr1585,receptors and binding proteins
Olr1602,receptors and binding proteins
LOC682195,miscellaneous and unknown
Kif26b,cytoskeleton
Sccpdh,metabolism and transport
Itpkb,signaling
Parp1,translation and protein modification
RGD1305572,miscellaneous and unknown
Pycr2,metabolism and transport
Tmem63a,miscellaneous and unknown
Cnih4,development
Srp9,signaling
Tp53bp2,DNA repair
Capn8,metabolism and transport
LOC682999,miscellaneous and unknown
Dusp10,signaling
Rab3gap2,signaling
Mir215,micro RNA
Slc30a10,metabolism and transport
Angel2,development
Slc30a1,metabolism and transport
Kcnh1,metabolism and transport
Traf3ip3,miscellaneous and unknown
Cd34,immune response
Pign,signaling
Mat2a,metabolism and transport
Esco1,cytoskeleton
Cdh19,cytoskeleton
Ralb,signaling
Ptpn4,signaling
LOC680073,transcription
Tmem177,miscellaneous and unknown
Insig2,signaling
Htr5b,receptors and binding proteins
Ddx18,transcription
Nap5,miscellaneous and unknown
Ccnt2,cell cycle
Dars,metabolism and transport
Cxcr4,receptors and binding proteins
Cd55,apoptosis
C4bpa,immune response
C4bpb,immune response
Mfsd4,metabolism and transport
Pctk3,proteolysis
Tmcc2,miscellaneous and unknown
Cntn2,cytoskeleton
Mdm4,transcription
Btg2,transcription
Adora1,receptors and binding proteins
Camsap1l1,signaling
Ptprc,signaling
Nek7,signaling
Lhx9,transcription
Cfh,immune response
Cdc73,cell cycle
Trove2,translation and protein modification
Rgs2,signaling
Rgs18,signaling
RGD1307830,EST
Prg4,cytoskeleton
Hmcn1,immune response
Rgl1,signaling
Lamc2,cytoskeleton
Dhx9,transcription
Npl,metabolism and transport
Ier5,transcription
Cep350,cell cycle
Soat1,metabolism and transport
Tor3a,development
Fam20b,miscellaneous and unknown
Rasal2,signaling
Cacybp,receptors and binding proteins
LOC684623,receptors and binding proteins
Klhl20,transcription
Prdx6,metabolism and transport
Dd25,miscellaneous and unknown
RGD1309106,miscellaneous and unknown
Dnm3,cytoskeleton
Fmo1,metabolism and transport
Prrx1,transcription
Mettl11b,epigenetics
Blzf1,transcription
Atp1b1,metabolism and transport
Mpzl1,development
Rcsd1,miscellaneous and unknown
Uck2,metabolism and transport
Mgst3,metabolism and transport
Pbx1,signaling
Nuf2,cell cycle
Rgs4,signaling
Ddr2,receptors and binding proteins
Nos1ap,metabolism and transport
Fcgr2b,immune response
Pcp4l1,development
Tomm40b,metabolism and transport
Fcer1g,immune response
Ppox,metabolism and transport
Usp21,proteolysis
Ufc1,proteolysis
Pea15a,metabolism and transport
Atp1a2,metabolism and transport
Kcnj9,metabolism and transport
RGD1562462,transcription
Pld5,signaling
Smyd3,epigenetics
Psen2,translation and protein modification
Cabc1,translation and protein modification
Ephx1,metabolism and transport
Nvl,cytoskeleton
Enah,signaling
Fbxo28,transcription
LOC690745,cytoskeleton
RGD1310587,miscellaneous and unknown
Tgfb2,growth factor
Kctd3,metabolism and transport
Prox1,transcription
Atf3,transcription
Nenf,development
Hhat,metabolism and transport
Sertad4,transcription
Hsd11b1,metabolism and transport
Vom2r65,receptors and binding proteins
Gak,cell cycle
Atp5i,metabolism and transport
Tmed5,metabolism and transport
Glmn,signaling
Tgfbr3,receptors and binding proteins
Hfm1,epigenetics
Sparcl1,signaling
Hsd17b11,metabolism and transport
Wdfy3,apoptosis
Hel308,epigenetics
Hpse,metabolism and transport
Lin54,cell cycle
Tmem150c,miscellaneous and unknown
LOC100361238,signaling
Prkg2,signaling
LOC305633,EST
RGD1563483,EST
Ccni,cell cycle
Cxcl11,growth factor
Cxcl10,growth factor
Naaa,metabolism and transport
G3bp2,signaling
Cdkl2,cell cycle
Rchy1,proteolysis
RGD1561381,Golgi apparatus
Sult1d1,metabolism and transport
Ugt2b34,metabolism and transport
RGD1559459,EST
Gnrhr,receptors and binding proteins
Uba6,proteolysis
Aasdh,metabolism and transport
Clock,cell cycle
Usp46,proteolysis
Sgcb,cytoskeleton
Tec,signaling
Cnga1,metabolism and transport
Nfxl1,transcription
Commd8,metabolism and transport
Gabrg1,receptors and binding proteins
Gnpda2,Golgi apparatus
Atp8a1,metabolism and transport
Apbb2,receptors and binding proteins
Rbm47,translation and protein modification
Ugdh,metabolism and transport
Tmem156,miscellaneous and unknown
RGD1563065,miscellaneous and unknown
LOC501224,EST
LOC685769,development
Arap2,signaling
Cox7a2,electron transport
Sel1l3,signaling
Lgi2,development
Rpsa,translation and protein modification
LOC688939,EST
Dhx15,transcription
Ppargc1a,receptors and binding proteins
Kcnip4,metabolism and transport
RGD1561241,transcription
Qdpr,metabolism and transport
Tapt1,development
Fgfbp1,receptors and binding proteins
Hs3st1,Golgi apparatus
Wdr1,miscellaneous and unknown
Slc2a9,metabolism and transport
Nsg1,development
Stk32b,signaling
Wfs1,development
Cno,cytoskeleton
Tada2b,transcription
Tnip2,apoptosis
Tmem129,miscellaneous and unknown
Maea,receptors and binding proteins
Atp5e,metabolism and transport
Zfp278,transcription
Pik3ip1,signaling
Selm,metabolism and transport
Morc2,transcription
Dusp18,signaling
Sf3a1,translation and protein modification
Gatsl3,miscellaneous and unknown
Lif,growth factor
Dbnl,cytoskeleton
Ccm2,development
Ramp3,signaling
Igfbp1,receptors and binding proteins
Upp1,metabolism and transport
Egfr,receptors and binding proteins
C1d,transcription
Spred2,signaling
Sertad2,transcription
Rps28,translation and protein modification
Peli1,signaling
RGD1309501,EST
LOC690096,translation and protein modification
Xpo1,metabolism and transport
LOC360990,proteolysis
RGD1306402,metabolism and transport
Bcl11a,transcription
Fancl,development
Efemp1,growth factor
Pnpt1,metabolism and transport
Smek2,signaling
Rtn4,metabolism and transport
Psme4,proteolysis
Rpl41,translation and protein modification
Vom2r66,receptors and binding proteins
Idua,metabolism and transport
Tmem175,miscellaneous and unknown
Pigg,metabolism and transport
Dr1,transcription
Brdt,epigenetics
LOC363337,EST
Lrrc8b,development
Abcg3l2,receptors and binding proteins
Ibsp,signaling
Ptpn13,signaling
Cds1,metabolism and transport
Agpat9,metabolism and transport
Mrps18c,translation and protein modification
Bmp3,growth factor
Bmp2k,signaling
Anxa3,signaling
Fras1,development
Mrpl1,translation and protein modification
Cxcl13,growth factor
RGD1564814,EST
Sept11,growth factor
Shroom3,cytoskeleton
Stbd1,receptors and binding proteins
Uso1,Golgi apparatus
Parm1,apoptosis
Mthfd2l,metabolism and transport
Cxcl1,growth factor
Pf4,growth factor
Cxcl6,growth factor
Alb,receptors and binding proteins
Slc4a4,metabolism and transport
Mobkl1a,signaling
Utp3,miscellaneous and unknown
Vcsa2,development
Stap1,signaling
Rpl39,translation and protein modification
Cep135,cell cycle
Pdgfra,growth factor
Rasl11b,transcription
Dcun1d4,proteolysis
Cwh43,development
Ociad1,cytoskeleton
Slc10a4,metabolism and transport
Guf1,metabolism and transport
N4bp2,receptors and binding proteins
Wdr19,metabolism and transport
RGD1565119,miscellaneous and unknown
Fam114a1,miscellaneous and unknown
Tbc1d1,signaling
Pgm2,metabolism and transport
Pcdh7,cytoskeleton
RGD1565192,miscellaneous and unknown
Anapc4,cell cycle
Sod3,metabolism and transport
Slit2,development
Mir218-1,micro RNA
RGD1562646,signaling
Cd38,immune response
C1qtnf7,growth factor
Lyar,immune response
Grpel1,translation and protein modification
Afap1,cytoskeleton
Htt,development
Grk4,signaling
Sh3bp2,translation and protein modification
RGD1309634,EST
Nat8l,metabolism and transport
Fgfr3,receptors and binding proteins
Ywhah,signaling
Depdc5,miscellaneous and unknown
Sfi1,cell cycle
Drg1,signaling
Limk2,signaling
Inpp5j,signaling
LOC100125371,EST
Osbp2,receptors and binding proteins
LOC685322,electron transport
Gas2l1,cell cycle
Urg4,development
Camk2b,signaling
LOC685909,epigenetics
Nacad,miscellaneous and unknown
Tbrg4,growth factor
Eif6,translation and protein modification
Igfbp3,receptors and binding proteins
Mospd1,development
RGD1564174,signaling
Zpbp,development
Ddc,metabolism and transport
Cobl,development
Sec61g,metabolism and transport
Pno1,development
Slc1a4,metabolism and transport
Ugp2,metabolism and transport
Mdh1,metabolism and transport
B3gnt2,Golgi apparatus
Pex13,signaling
Rel,transcription
Papolg,translation and protein modification
Rps27a,translation and protein modification
Ndufs5,metabolism and transport
RGD1561672,miscellaneous and unknown
Erlec1,cytoskeleton
Kcnma1,metabolism and transport
Ap3m1,Golgi apparatus
Camk2g,signaling
Ndst2,metabolism and transport
Ncl,translation and protein modification
Ttc18,miscellaneous and unknown
LOC680062,miscellaneous and unknown
Spetex-2G,miscellaneous and unknown
LOC290508,electron transport
Spetex-2C,miscellaneous and unknown
Spetex-2B,miscellaneous and unknown
Spetex-2D,miscellaneous and unknown
Spetex-2E,miscellaneous and unknown
Rpl15,translation and protein modification
Tcea1,transcription
Olr1607,receptors and binding proteins
Psmd6,proteolysis
Thoc7,translation and protein modification
Cadps,metabolism and transport
LOC361016,EST
Pdhb,metabolism and transport
Dnase1l3,metabolism and transport
LOC501427,miscellaneous and unknown
LOC685872,miscellaneous and unknown
Ptger2,receptors and binding proteins
LOC498465,EST
RGD1563070,miscellaneous and unknown
Cgrrf1,growth factor
Samd4a,signaling
Mapk1ip1l,signaling
Lgals3,cytoskeleton
Peli2,signaling
Olr1611,receptors and binding proteins
Olr1619,receptors and binding proteins
Olr1627,receptors and binding proteins
Apex1,DNA repair
Rnase4,translation and protein modification
Tppp2,cytoskeleton
LOC100360350,miscellaneous and unknown
RGD1563569,miscellaneous and unknown
LOC290071,EST
LOC100360220,miscellaneous and unknown
LOC100361390,miscellaneous and unknown
LOC691264,miscellaneous and unknown
LOC691048,miscellaneous and unknown
LOC100366148,miscellaneous and unknown
LOC691011,miscellaneous and unknown
LOC678814,miscellaneous and unknown
Lrp10,receptors and binding proteins
RGD1308430,miscellaneous and unknown
Thtpa,metabolism and transport
Cpne6,development
Pck2,metabolism and transport
Ltb4r,receptors and binding proteins
Mcpt4l1,proteolysis
Mcpt2,proteolysis
Mcpt1l2,proteolysis
Mcpt10,proteolysis
Mcpt1l3,proteolysis
Zmym2,transcription
RGD1565170,translation and protein modification
Fgf9,growth factor
LOC691900,miscellaneous and unknown
Spata13,development
Trim13,miscellaneous and unknown
Rnaseh2b,translation and protein modification
Zc3h13,transcription
Xkr6,immune response
Zfp395,transcription
Clu,apoptosis
Kctd9,metabolism and transport
Stc1,growth factor
Entpd4,signaling
Loxl2,metabolism and transport
Egr3,cell cycle
Bin3,transcription
Rcbtb2,epigenetics
Lpar6,receptors and binding proteins
Med4,transcription
Htr2a,receptors and binding proteins
Lcp1,metabolism and transport
LOC684806,translation and protein modification
Kctd4,metabolism and transport
Elf1,transcription
Pcdh17,cytoskeleton
Tdrd3,miscellaneous and unknown
RGD1309522,miscellaneous and unknown
Pibf1,immune response
Klf5,transcription
Cln5,development
RGD1308626,miscellaneous and unknown
Trim52,miscellaneous and unknown
Mir17-1,micro RNA
Mir19a,micro RNA
Mir20a,micro RNA
LOC691984,cytoskeleton
Cldn10,cytoskeleton
Rap2a,signaling
Farp1,signaling
Timm8a2,metabolism and transport
Tm9sf2,miscellaneous and unknown
Zic2,transcription
Pcca,metabolism and transport
Itgbl1,signaling
LOC681383,miscellaneous and unknown
LOC688634,EST
RGD1309414,miscellaneous and unknown
Chchd1,transcription
LOC685144,receptors and binding proteins
Spetex-2F,miscellaneous and unknown
Spetex-2A,miscellaneous and unknown
LOC679752,electron transport
Zfp385d,transcription
LOC684994,receptors and binding proteins
